Row,data_split,deb_loss,success,error_type,error_message
Acipenser_sturio,test,NaN,0,predict_or_loss_error,The entries in tspan must strictly increase or decrease.
Cochlearius_cochlearius,test,1.76497565375898,1,,
Wallabia_bicolor,test,4.52234591084777,1,,
Ammodytes_personatus,test,0.615697793994802,1,,
Typhlonarke_aysoni,test,0.352330933366738,1,,
Ctenophorus_adelaidensis,test,10.6569343746527,1,,
Spheniscus_demersus,test,1.61560768125431,1,,
Acanthiza_chrysorrhoa,test,1.59260359716091,1,,
Urogymnus_polylepis,test,0.27452739435816,1,,
Branchinella_thailandensis,test,1.79949067492443,1,,
Gyrinophilus_palleucus,test,10.0844309634837,1,,
Myiobius_atricaudus,test,4.18205477320643,1,,
Sardinella_gibbosa,test,0.806101176012744,1,,
Hemitriakis_japanica,test,0.093635838680987,1,,
Fulmarus_glacialis,test,4.26997662878102,1,,
Cinclus_leucocephalus,test,1.49239849716137,1,,
Tersina_viridis,test,1.82639039206896,1,,
Crocodylus_siamensis,test,0.814621384005206,1,,
Phylloscopus_sibilatrix,test,1.21787743918536,1,,
Melanitta_perspicillata,test,2.08417285417814,1,,
Alaskozetes_antarcticus,test,16.2812242575224,1,,
Mohoua_novaeseelandiae,test,1.92972128125,1,,
Achoerodus_gouldii,test,4.93732299100449,1,,
Pseudoseisura_lophotes,test,1.81588300079314,1,,
Hypsibius_convergens,test,2.45866457190417,1,,
Branchotenthes_octohamatus,test,8.35138160882732,1,,
Himatione_sanguinea,test,2.13011469097775,1,,
Acanthogobius_flavimanus,test,7.09292604896394,1,,
Crocodylus_niloticus,test,1.85759252252871,1,,
Argya_squamiceps,test,1.29775399930761,1,,
Cancer_pagurus,test,21.9770106947587,1,,
Aethia_pusilla,test,1.86249555479246,1,,
Desmognathus_brimleyorum,test,0.957110171259523,1,,
Branta_canadensis,test,3.00154574985471,1,,
Chondestes_grammacus,test,1.53668547509498,1,,
Gallus_gallus_WL,test,4.2132292284544,1,,
Glyptemys_muhlenbergii,test,1.72174669201279,1,,
Archilochus_alexandri,test,4.12758087097745,1,,
Sakesphorus_canadensis,test,1.40305029095027,1,,
Gasterosteus_aculeatus,test,1.776671994522,1,,
Calidris_melanotos,test,1.75584942272672,1,,
Orectolobus_maculatus,test,0.536369866570891,1,,
Phalacronotus_micronemus,test,1.02361957183485,1,,
Megascops_kennicottii,test,1.29474367950165,1,,
Buphagus_erythrorhynchus,test,1.51120102104876,1,,
Platichthys_flesus,test,NaN,1,,
Astyanax_bimaculatus,test,0.470183035693411,1,,
Dendrobaena_octaedra,test,3.21698192318441,1,,
Serinus_canaria,test,1.45472623057015,1,,
Dermatemys_mawii,test,4.58103528380664,1,,
Taeniopygia_guttata,test,1.63300251827124,1,,
Stolephorus_carpentariae,test,1.71470865222748,1,,
Lagopus_muta,test,1.37490423302401,1,,
Acridotheres_cristatellus,test,1.66496330689397,1,,
Emberiza_citrinella,test,4.04424246266895,1,,
Boa_constrictor,test,3.82733093926639,1,,
Morone_mississippiensis,test,1.20932159762873,1,,
Cirrhinus_cirrhosus,test,2.21371499572917,1,,
Spinus_pinus,test,1.85532196878798,1,,
Lagostrophus_fasciatus,test,2.73684593843125,1,,
Melanitta_deglandi,test,2.96809384972522,1,,
Seiurus_aurocapilla,test,1.37297430500467,1,,
Girardinus_denticulatus,test,1.05142449617079,1,,
Membras_martinica,test,1.0822969006148,1,,
Daphnia_cephalata,test,0.806323981153216,1,,
Hippocampus_erectus,test,2.98699809906573,1,,
Ramphastos_dicolorus,test,1.44012194819868,1,,
