Row,data_split,feasible,infeasibility_flag,error_message
Abbottina_rivularis,train,1,0,
Ablennes_hians,test,1,0,
Acanthochromis_polyacanthus,train,1,0,
Acanthoclinus_littoreus,train,1,0,
Acanthocybium_solandri,train,1,0,
Acanthogobius_flavimanus,test,1,0,
Acanthopagrus_arabicus,test,1,0,
Acanthopagrus_australis,train,1,0,
Acarichthys_heckelii,train,1,0,
Achoerodus_gouldii,test,1,0,
Achoerodus_viridis,train,1,0,
Achondrostoma_arcasii,test,1,0,
Acipenser_baerii,val,1,0,
Acipenser_gueldenstaedtii,test,1,0,
Acipenser_medirostris,train,1,0,
Acipenser_ruthenus,val,1,0,
Acipenser_stellatus,train,1,0,
Acipenser_sturio,val,1,0,
Acipenser_transmontanus,test,1,0,
Acrocheilus_alutaceus,val,1,0,
Acroteriobatus_annulatus,train,1,0,
Acyrtops_beryllinus,train,1,0,
Aethaloperca_rogaa,test,1,0,
Aetobatus_flagellum,train,1,0,
Aetobatus_narinari,train,1,0,
Aetomylaeus_bovinus,train,1,0,
Alaskozetes_antarcticus,val,1,0,
Alburnoides_eichwaldii_ShirAbad,train,1,0,
Alburnoides_eichwaldii_Tajan,train,1,0,
Alburnus_alburnus,test,1,0,
Aldabrachelys_gigantea,train,1,0,
Alepes_kleinii,train,1,0,
Alestes_baremoze,train,1,0,
Alestes_dentex,test,1,0,
Alligator_sinensis,train,1,0,
Allocyttus_verrucosus,train,1,0,
Allothunnus_fallai,train,1,0,
Alona_iheringula,train,1,0,
Alosa_pseudoharengus,val,1,0,
Ambiserrula_jugosa,train,1,0,
Amblema_plicata,train,1,0,
Amblygaster_sirm,val,1,0,
Amblygobius_bynoensis,train,1,0,
Amblygobius_phalaena,train,1,0,
Amblyraja_radiata,train,1,0,
Ambystoma_mexicanum,train,1,0,
Ameiurus_catus,train,1,0,
Amia_calva,train,0,error,Matrix dimensions must agree.
Ammocrypta_pellucida,test,1,0,
Ammodytes_americanus,train,0,1,
